URL,Date,Third Party,Price,Mileage,Location,Event
https://www.classic.com/veh/1990-porsche-911-carrera-2-coupe-wp0ab2967ls451694-Wk1QdR4/,"Apr 29, 2024",Bring a Trailer Auctions,"$70,500","Ottumwa, Iowa, USA","169,000 mi ·","Apr 29, 2024 Sold at for $70,500 169,000 mi · Ottumwa, Iowa, USA Event Details"
https://www.classic.com/veh/1990-porsche-911-carrera-2-coupe-wp0ab2967ls451694-Wk1QdR4/,"May 19, 2008",,,"Ottumwa, Iowa, USA","169,000 mi ·","May 19, 2008 Purchase reported via public record for $58,500 Iowa, USA"
https://www.classic.com/veh/1990-porsche-911-carrera-2-coupe-wp0ab2967ls451694-Wk1QdR4/,,,,"Ottumwa, Iowa, USA","169,000 mi ·",
https://www.classic.com/veh/1990-porsche-911-carrera-2-coupe-wp0ab2964ls451930-47j1mlp/,"Mar 12, 2024",Bring a Trailer Auctions,"$84,000","Thousand Oaks, California, USA","59,000 mi ·","Mar 12, 2024 Sold at for $84,000 59,000 mi · Thousand Oaks, California, USA Event Details"
https://www.classic.com/veh/1990-porsche-911-carrera-2-coupe-wp0ab2964ls451930-47j1mlp/,,,,"Thousand Oaks, California, USA","59,000 mi ·",
https://www.classic.com/veh/1991-porsche-911-carrera-2-coupe-wp0ab2967ms411200-n1kDxqp/,"Jan 15, 2024",Bring a Trailer Auctions,"$92,500","Wheaton, IL, USA","122,514 mi ·","Jan 15, 2024 Sold at for $92,500 122,514 mi · Wheaton, IL, USA Event Details"
https://www.classic.com/veh/1991-porsche-911-carrera-2-coupe-wp0ab2967ms411200-n1kDxqp/,,,,"Wheaton, IL, USA","122,514 mi ·",
